품목코드,품종,품목,규격,단위, 개당단가 , 구입연도 ,구입일자,수량,구입가격,발주일자,입고일자,리드타임
AA-AAA-00001,철강재,원형봉강,SS275 16㎜,kg, 700 ,2020,2020-06-23,21," 14,700 ",2020-06-14,2020-12-02,171
AA-AAB-00001,철강재,보통철근,SD300 D10㎜,M/T," 685,000 ",2020,2020-10-19,21," 14,385,000 ",2020-09-26,2021-01-27,123
AA-AAC-00001,철강재,고장력철근,SD400 D10㎜,M/T," 690,000 ",2020,2020-03-27,8," 5,520,000 ",2020-03-09,2020-06-01,84
AA-AAD-00001,철강재,등변ㄱ형강(소형),65×65×6㎜,kg, 700 ,2020,2020-07-23,41," 28,700 ",2020-07-08,2020-10-14,98
AA-AAE-00001,철강재,ㄷ형강,100×50×5㎜,kg, 700 ,2020,2020-04-20,5," 3,500 ",2020-04-12,2020-07-17,96
AA-AAF-00001,철강재,4각강,12㎜,kg, 700 ,2020,2020-07-25,30," 21,000 ",2020-07-08,2020-10-19,103
AA-AAG-00001,철강재,평강,4.5t×50㎜,kg, 700 ,2020,2020-07-04,49," 34,300 ",2020-07-04,2020-12-20,169
AA-AAH-00001,철강재,구조용H형강,"100×100×6×8㎜(압연,중형)",M/T," 790,000 ",2020,2020-04-01,32," 25,280,000 ",2020-03-30,2020-08-05,128
AA-AAI-00001,철강재,열연박판,"SS275 1.4≤T≤1.6㎜ (914*1,829)",kg, 760 ,2020,2020-10-17,25," 19,000 ",2020-09-23,2020-11-01,39
AA-AAJ-00001,철강재,열연후판,"SS275 12.0㎜≤T≤20.0㎜(2,438*6029)",kg, 710 ,2020,2020-11-13,34," 24,140 ",2020-10-23,2020-12-15,53
AA-AAK-00001,철강재,냉연강판,CR(SCP1) 1.0㎜≤T<1.75㎜,kg, 790 ,2020,2020-07-12,38," 30,020 ",2020-07-02,2020-11-09,130
AA-AAL-00001,철강재,전기아연도강판,"0.35㎜ ≤T〈0.4 ㎜((914*1,829)",매," 4,690 ",2020,2020-10-24,4," 18,760 ",2020-09-29,2021-03-17,169
AA-AAM-00001,철강재,아연도강판,"T≤0.20㎜ (914*1,829)",매," 3,270 ",2020,2020-01-22,9," 29,430 ",2020-01-15,2020-03-02,47
AA-AAN-00001,철강재,석도강판,0.25×5.6/5.6(50×50),M/T," 1,671,000 ",2020,2020-09-20,11," 18,381,000 ",2020-09-12,2020-09-13,1
AA-AAO-00001,철강재,구조용탄소강관(백관),76.3*3.2mm,m," 6,790 ",2020,2020-11-22,14," 95,060 ",2020-11-19,2021-03-20,121
AA-AAP-00001,철강재,보통철선,#10   3.2㎜,kg," 1,070 ",2020,2020-02-11,11," 11,770 ",2020-02-07,2020-04-07,60
AA-AAQ-00001,철강재,소철선(어닐링),＃6   4.0㎜,kg," 1,130 ",2020,2020-10-28,10," 11,300 ",2020-10-17,2021-04-08,173
AA-AAR-00001,철강재,아연도철선,1종 #8   4.0㎜,kg," 1,250 ",2020,2020-12-19,14," 17,500 ",2020-11-20,2020-11-23,3
AA-AAS-00001,철강재,경강선,선경 1.0∼1.19㎜,kg," 2,460 ",2020,2020-10-11,19," 46,740 ",2020-09-13,2020-11-26,74
AA-AAT-00001,철강재,PC강선2종,단선12.7ø단중0.785/m,kg," 1,710 ",2020,2020-08-22,35," 59,850 ",2020-08-01,2020-11-30,121
AA-AAU-00001,철강재,와이어로프,6×24(도금)마심 10㎜,m, 980 ,2020,2020-01-20,21," 20,580 ",2020-01-06,2020-01-26,20
AA-AAV-00001,철강재,철못,N25   23kg(일반용),Box," 36,460 ",2020,2020-01-03,18," 656,280 ",2019-12-14,2020-05-07,145
AA-AAW-00001,철강재,육각볼트,M6×20㎜,EA, 16 ,2020,2020-07-17,40, 640 ,2020-07-01,2020-10-09,100
AB-AAX-00001,특수강재,스테인리스강판(STS304 2B),STS304 2.0mm,M/T," 3,100,000 ",2020,2020-11-22,27," 83,700,000 ",2020-10-26,2021-03-16,141
AB-AAY-00001,특수강재,스테인리스선(STS304),0.3㎜,kg," 8,800 ",2020,2020-10-18,2," 17,600 ",2020-09-27,2021-01-25,120
AB-AAZ-00001,특수강재,구조용스테인리스관(원형),STS304 12.7×1.0㎜(0.291kg/m),m," 1,350 ",2020,2020-07-21,26," 35,100 ",2020-07-14,2020-12-13,152
AB-ABA-00001,특수강재,회주철품(KSD4301),GC-200,kg," 2,500 ",2020,2020-05-26,26," 65,000 ",2020-05-17,2020-11-01,168
AB-ABB-00001,특수강재,기계구조용탄소강,SMxxC Φ25∼250,kg," 1,100 ",2020,2020-04-15,33," 36,300 ",2020-03-29,2020-07-05,98
AC-ABC-00001,비철제품,동판(1종),0.5㎜×400㎜×1200㎜(KSD 5201),kg," 11,290 ",2020,2020-06-12,47," 530,630 ",2020-05-15,2020-09-12,120
AC-ABD-00001,비철제품,동봉,두께 6.1∼10㎜,kg," 12,000 ",2020,2020-07-21,23," 276,000 ",2020-07-04,2020-07-11,7
AC-ABE-00001,비철제품,동선,7.0∼12.9㎜(경질AA급),kg," 12,340 ",2020,2020-06-19,45," 555,300 ",2020-05-26,2020-08-31,97
AC-ABF-00001,비철제품,황동판(2종),"0.5×400×1,200㎜",kg," 9,240 ",2020,2020-03-12,24," 221,760 ",2020-03-07,2020-08-15,161
AC-ABG-00001,비철제품,전기동,99.99% 이상,Ton," 9,730,000 ",2020,2020-12-11,28," 272,440,000 ",2020-12-03,2021-04-24,142
AC-ABH-00001,비철제품,알루미늄괴,V-INGOT(중국제),Ton," 2,533,000 ",2020,2020-11-07,10," 25,330,000 ",2020-10-08,2021-01-27,111
AC-ABI-00001,비철제품,니켈,99.9%이상 ,kg," 18,600 ",2020,2020-03-06,40," 744,000 ",2020-03-05,2020-06-19,106
AC-ABJ-00001,비철제품,카드뮴,99.9%이상 (합금용),kg," 4,000 ",2020,2020-10-16,3," 12,000 ",2020-09-16,2020-11-05,50
AC-ABK-00001,비철제품,전기아연,99.995%(ＳＨＧ),Ton," 3,567,000 ",2020,2020-06-18,41," 146,247,000 ",2020-06-18,2020-10-15,119
AC-ABL-00001,비철제품,전기연,99.99%이상,Ton," 2,672,000 ",2020,2020-08-08,42," 112,224,000 ",2020-07-15,2020-12-23,161
AC-ABM-00001,비철제품,주석(석괴),99.99%이상,kg," 23,850 ",2020,2020-10-11,7," 166,950 ",2020-09-15,2020-10-19,34
AC-ABN-00001,비철제품,망간,99.98%이상,kg," 2,200 ",2020,2020-05-16,2," 4,400 ",2020-05-01,2020-08-28,119
AC-ABO-00001,비철제품,연판,"1㎜× 909×1,818㎜",매," 65,000 ",2020,2020-03-21,5," 325,000 ",2020-03-03,2020-08-14,164
AC-ABP-00001,비철제품,봉납땜,Sn 50%,kg," 24,300 ",2020,2020-01-13,32," 777,600 ",2019-12-29,2020-05-10,133
AC-ABQ-00001,비철제품,알루미늄판,"0.4㎜ 400×1,200㎜(A1235)",kg," 4,070 ",2020,2020-09-01,24," 97,680 ",2020-08-14,2021-02-08,178
AC-ABR-00001,비철제품,알루미늄관,22×1.0㎜×3m,본," 2,860 ",2020,2020-11-08,7," 20,020 ",2020-10-21,2021-01-26,97
AD-ABS-00001,골재 / 목재,모래,"江모래, 시내도착도                       ",㎥," 35,000 ",2020,2020-01-05,17," 595,000 ",2019-12-29,2020-02-01,34
AD-ABT-00001,골재 / 목재,자연자갈,#57 25mm시내도착도,㎥," 30,000 ",2020,2020-11-14,38," 1,140,000 ",2020-10-16,2021-03-01,136
AD-ABU-00001,골재 / 목재,쇄석자갈,#467 40mm시내도착도,㎥," 28,000 ",2020,2020-04-11,45," 1,260,000 ",2020-03-18,2020-05-24,67
AD-ABV-00001,골재 / 목재,시멘트(보통),40kg (포장품)                                                           ,포," 4,500 ",2020,2020-07-02,17," 76,500 ",2020-07-01,2020-07-18,17
AD-ABW-00001,골재 / 목재,백시멘트,40kg /NET                                                                ,포," 9,900 ",2020,2020-05-08,13," 128,700 ",2020-05-07,2020-05-25,18
AD-ABX-00001,골재 / 목재,타일시멘트,"줄눈용백색.ISO인증, KS인증  25kg",포," 5,200 ",2020,2020-01-01,46," 239,200 ",2019-12-31,2020-01-31,31
AD-ABY-00001,골재 / 목재,레미콘,25㎜ 18MPa×80mm,㎥," 66,100 ",2020,2020-10-07,50," 3,305,000 ",2020-09-11,2020-09-12,1
AD-ABZ-00001,골재 / 목재,미송각재,30×30×3600mm,재," 1,800 ",2020,2020-07-09,18," 32,400 ",2020-06-13,2020-12-03,173
AD-ACA-00001,골재 / 목재,외송각재,30×30×3600mm,재," 1,450 ",2020,2020-01-03,45," 65,250 ",2019-12-30,2020-06-23,176
AD-ACB-00001,골재 / 목재,나왕각재,45×90×3600mm,재," 5,100 ",2020,2020-09-15,33," 168,300 ",2020-08-26,2020-10-10,45
AD-ACC-00001,골재 / 목재,미송판재,30×300×3600mm,재," 2,000 ",2020,2020-08-09,27," 54,000 ",2020-07-21,2020-11-30,132
AD-ACD-00001,골재 / 목재,외송판재,30×300×3600mm,재," 1,600 ",2020,2020-11-01,48," 76,800 ",2020-10-11,2020-11-13,33
